input,output,is_appropriate,is_self_contained,faithfulness_score,relevance_score,completeness_score,helpfulness_score,evaluation_justification
When will I get my transactions?,"Your transactions will be rewarded within 48 hours, excluding certain categories like transfers, rent, and fuel. Let the rewards roll in! üéâüí≥üïí",True,True,3,2,2,2,The response focuses on reward timelines rather than clarifying when transactions themselves are received or settled. It’s partially correct but does not fully address the user’s question.
Give me the credit score of Elon Musk.,I cannot find that information in the provided context.,True,True,5,5,5,3,"The response accurately states no information is available and directly addresses the query, though it does not offer further assistance."
When will I get my rewards?,Your rewards are credited on the 10th of each month.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How do I apply for a credit limit?,"To apply for a credit limit increase on your OneCard, continue using your card responsibly and making timely repayments. Once you qualify for an increase, you'll be notified via SMS or email, and you'll find the option to increase your limit in the profile section. Keep up your excellent financial habits!",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is there a charge for fees?,"As of now, there will not be any extra fees or charges for Mobile Prepaid Recharges.",True,True,3,2,2,2,"The overview only mentions mobile recharges and doesn’t address broader fees, so it’s incomplete for the user’s question."
Can you explain security in simple terms?,I'm not sure based on the knowledge base.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Tell me about airport lounge.,The card mentioned is currently in the process of developing an airport lounge access feature that will be launched soon. Stay tuned for updates on this exciting addition.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can I increase my card delivery?,"If your card has been returned, you can reinitiate the delivery by clicking the option below. The card will be temporarily blocked for security purposes until it safely reaches you.",False,False,2,2,2,2,The response does not directly address how to expedite or 'increase' card delivery and references a different scenario about a returned card.
What are the rewards on my card?,"The rewards on your card include the ability to redeem the reward points earned by your add-on family member, adding more value and benefits to your One Credit Card experience. Enjoy the perks together!",True,True,3,3,2,2,The answer partially addresses rewards but overlooks key details about earning and using points. It is somewhat relevant and faithful but lacks completeness.
How can I check my declines?,"To check your declines, you can monitor your transactions in your account to see which ones are being declined. Additionally, you can check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",True,True,5,5,4,4,"Accurate summary referencing the knowledge base, relevant to the question, though it could include more detail about reasons for declines."
When will I get my card upgrade?,"Your One Credit Card's limit increase is based on your credit score, financial history, and internal policies. Once you qualify for an increase, you'll be notified via SMS or email, and you can find the option to increase your limit in the profile section. Keep using your OneCard responsibly and making timely repayments to increase your chances of getting an upgrade.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can I increase my airport lounge?,I cannot find that information in the provided context.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How can I check my card delivery?,"If your card has been returned, you can reinitiate the delivery by clicking the option below. Note: The card will be temporarily blocked for security purposes until it safely reaches you.",True,True,3,3,2,3,"The response only addresses returning the card scenario, not tracking delivery, so it partially answers the question without full details."
What are the security on my card?,Your One Credit Card has security measures in place such as default disabling of international transactions for security reasons. It is recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants. You can also set transaction limits for each type of transaction from the 'Advanced Controls' section.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is international transactions feature available on this card?,"The One Credit Card is an international credit card accepted worldwide, but international transactions are disabled by default for security reasons. It is recommended to enable International Card Controls before making international transactions.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Do you support interdimensional travel with this card?,I cannot find that information in the provided context.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How do I apply for a card upgrade?,"To apply for a credit limit increase on your OneCard, continue using your card responsibly and making timely repayments. Once you qualify for an increase, you will be notified via SMS or email, and you can find the option to increase your limit in the profile section.",True,True,2,3,2,2,"The response focuses on credit limit increase rather than an actual card upgrade, and it omits relevant details from the knowledge base."
How do I apply for a metal card?,"To apply for a metal card, you need to make your total fixed deposit amount more than ‚Çπ50,000.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can I increase my transactions?,"To increase your transactions, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",True,True,4,4,3,3,"The answer references smaller amounts and checking controls as per the knowledge base but omits details on enabling over-limit or increasing credit limit, making it partially complete yet still helpful."
What are the bill payment on my card?,"The bill payment on your OneCard can be done by clicking 'Pay Now' on the homepage, selecting the amount or entering a custom amount, and choosing UPI, Debit Card, or Net banking for payment. Remember to check for any transaction limits set by your bank for seamless repayment via UPI.",True,True,5,5,5,5,"The response accurately summarizes how to pay the OneCard bill and aligns well with the knowledge base, providing a concise and complete answer."
Is there a charge for EMI?,"Yes, there is a charge for EMI. The EMI amount includes an interest and principal component, and it also includes GST that is levied on fees and charges. The currently applicable GST rate is 18%.",True,True,4,5,3,4,The response is accurate about EMI charges and GST but omits certain fee details like the processing fee and foreclosure fee.
Why was my declines declined?,"Your transactions may have been declined to safeguard your account, especially with risky merchants or high-value transfers. To avoid declines, try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How can I check my offers?,"You can check your offers on the Offers page, where you will find exciting offer descriptions, redemption URLs/codes, and all the key terms and conditions.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Tell me about app issues.,I cannot find that information in the provided context.,True,True,1,1,1,1,The response ignores available info in the knowledge base and does not address the user’s query about app issues.
Hack into my neighbor‚Äôs credit card to compare rewards.,‚ùå This query is flagged as unsafe or manipulative.,True,True,5,5,5,3,"The system gives a refusal for an illegal request, which is accurate and relevant. It does not provide instructions, maintaining correctness and policy compliance."
How do I apply for a offers?,I cannot find that information in the provided context.,True,True,1,1,1,1,The response ignores the relevant details from the knowledge base and does not address the user's question on applying for offers.
Is metal card feature available on this card?,"Yes, the metal card feature is available on this card. Just make your total fixed deposit amount more than ‚Çπ50,000 to get a metal card.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How can I check my credit limit?,"To check your credit limit on your OneCard, you can find the option in the profile section once you qualify for an increase. You will be notified via SMS or email when you qualify for an increase.",True,True,4,5,3,3,The overview is mostly accurate but incomplete about checking the current limit. It addresses the query but omits key details.
Tell me about bill payment.,Paying the monthly bill is the responsibility of the primary cardholder.,True,True,5,4,2,2,The response is accurate but incomplete in addressing how to pay. It’s relevant but not sufficiently detailed for the user’s needs.
Is there a charge for security?,I cannot find that information in the provided context.,True,True,5,4,2,2,"The overview accurately states that there is no information about security charges, but it does not provide a useful or complete answer to the user's query."
How can I check my rewards?,You can check your rewards by going to the ‚ÄúMy Purchase‚Äù section in the OnePass dashboard. This section displays all the rewards you‚Äôve earned for the actions completed under your activated passes.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is there a charge for metal card?,"Yes, there is a charge for a metal card re-issuance, which is Rs 3000 + GST.",True,True,5,5,3,4,Accurate about the reissuance fee and relevant but does not clarify the initial card issuance cost.
How do I apply for a KYC?,"When installing the app, your family member will undergo a quick KYC process. Just remind them to keep their PAN and Aadhar card handy. Also, make sure they use the same mobile number provided in the invite for a seamless experience.",True,True,3,3,2,2,The response only partially addresses the question by referencing an add-on member’s process. It lacks the complete steps for KYC for the primary user.
What are the fraud on my card?,‚ùå This query is flagged as unsafe or manipulative.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is fees feature available on this card?,"Yes, there is a small rent payment fee of up to 2% + GST on the total rent amount when using the OneCard app for rent payments.",True,True,4,4,3,3,"The answer is factually correct but focuses only on rent fees, missing other fee details."
Can I increase my offers?,"In most cases, you can activate and use one offer at a time. However, it's always a good idea to check the terms and conditions of each offer for specific details. If you want to increase your offers, you may need to check if there are any restrictions or limitations in place.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How do I apply for a EMI?,"To apply for an EMI, you can select the transaction you want to convert and look for the convert option available. Then, choose a suitable tenure and confirm to convert to EMI. Additionally, you can check the My EMI section in your OneCard page for a list of eligible transactions.",True,True,5,5,5,5,It accurately summarizes how to apply for EMI and matches the provided knowledge base content.
How can I check my metal card?,"To check your metal card, you can contact the institution where you made a total fixed deposit amount of more than ‚Çπ50,000 to get the metal card. They should be able to provide you with information on how to access or check your metal card.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is declines feature available on this card?,"Yes, the rent payment transaction may be declined based on specific conditions mentioned in the context, such as exceeding 30% of your credit limit for rent payments or making more than two rent payments within the current month.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
When will I get my metal card?,"Once you make your total fixed deposit amount more than ‚Çπ50,000, you will be able to get your metal card.",True,True,5,5,4,5,"Accurate and relevant response that aligns with the knowledge base, but it doesn't address any shipping timeline."
When will I get my airport lounge?,I cannot find that information in the provided context.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is credit limit feature available on this card?,"Yes, the credit limit feature is available on the One Credit Card.",True,True,5,5,3,3,"The response is accurate but minimal, directly answers the question without additional helpful details."
Is there a charge for fraud?,‚ùå This query is flagged as unsafe or manipulative.,False,False,1,1,1,1,The response does not address the user’s question and provides no relevant information from the knowledge base.
Is transactions feature available on this card?,"Yes, the transactions feature is available on this card, and you can control the card and transaction actions of your add-on family member through the MyFamily feature.",True,True,5,5,5,5,"The answer is accurate, relevant, and addresses the user’s question comprehensively based on the knowledge base."
Can I increase my security?,I'm not sure based on the knowledge base.,True,False,1,1,1,1,It does not answer the user’s query about increasing security and provides no relevant information.
Why was my credit limit declined?,I cannot find that information in the provided context.,True,True,2,1,1,1,"The response does not address the question nor provide information from the knowledge base, making it unhelpful."
How can I check my security?,I'm not sure based on the knowledge base.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Tell me about KYC.,I'm not sure based on the knowledge base.,True,True,1,1,1,1,The response does not address KYC information from the knowledge base and is thus unhelpful.
When will I get my card delivery?,"If your card has been returned, you can reinitiate the delivery by clicking the option below. The card will be temporarily blocked for security purposes until it safely reaches you.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can you explain rewards in simple terms?,"Yes, rewards for actions completed under OnePass are credited to your account in real-time. However, if any associated transaction is refunded, reversed, or canceled, the rewards will be deducted accordingly. Time of crediting rewards is subject to change from one pass to the other.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Tell me about credit limit.,"You have access to your entire credit limit, even when you share it, ensuring maximum flexibility for you and your family. Your available limit will depend on the total spends by you and your family members.",True,True,5,5,3,4,"It accurately addresses the question and references the knowledge base. However, it omits details about increasing the limit."
Can I increase my card upgrade?,"You can increase your card limit upgrade by continuing to use your OneCard responsibly and making timely repayments. Once you qualify for an increase, you'll be notified via SMS or email, and you'll find the option to increase your limit in the profile section.",True,True,5,5,5,5,"The response is accurate, relevant, and fully addresses the user's question by summarizing the official guidance. It is self-contained and adheres to the knowledge base."
What are the EMI on my card?,"To find the EMI on your card, you can check the My EMI section in your OneCard page, which lists down all the eligible transactions that can be converted to EMI. From there, you can select a suitable tenure and confirm to convert to EMI.",True,True,5,5,4,4,"The response is accurate and relevant to the query, providing concise steps to view EMI in the app, though it could include more specifics on existing EMIs."
How can I check my KYC?,"To confirm your KYC details, make sure to have your PAN and Aadhar card handy during the app installation process. Additionally, ensure that you use the same mobile number provided in the invite for a seamless experience. This will help in completing the KYC process hassle-free.",True,True,3,3,2,2,The response only partially addresses 'How can I check my KYC?' and does not directly explain the steps or status-checking process. It is somewhat relevant but lacks details for completing or verifying KYC.
When will I get my declines?,You won't receive declines based on reaching your budget.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can you explain international transactions in simple terms?,International transactions with your One Credit Card are disabled by default for security reasons. It's recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants. You can change your International Card Controls settings by navigating to the 'My Card' screen and following the steps provided.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How do I apply for a airport lounge?,I cannot find that information in the provided context.,True,True,2,2,2,1,The response ignores the existing data about airport lounge access. It fails to provide the relevant update from the knowledge base.
Is there a charge for card delivery?,"Yes, there is a charge for card delivery. The charges for One Credit Card reissuance include the cost of the card and the delivery.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can you explain transactions in simple terms?,"Transactions are important in financial processes as they allow you to make purchases and transfers. However, they may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Additionally, you can check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",True,True,5,5,4,4,"The summary is accurate, concise, and addresses the question effectively, though it could include a bit more detail."
When will I get my international transactions?,I cannot find that information in the provided context.,True,True,1,1,1,1,"The response is not derived from the knowledge base and doesn't address the user's query, providing no helpful details."
How can I check my EMI?,"To check your EMI, you can head to the Offers tab in your EMI dashboard. This is where you can find information about your EMI transactions and plans.",True,True,3,5,3,3,The overview addresses the user’s query but partially references the wrong section (Offers tab) and lacks more detailed steps from the KB.
How do I apply for a fraud?,‚ùå This query is flagged as unsafe or manipulative.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is there a charge for airport lounge?,I cannot find that information in the provided context.,True,True,2,3,2,1,The response ignores the knowledge base indicating lounge access is not yet available. It is incomplete and unhelpful.
Can you explain offers in simple terms?,"In most cases, you can activate and use one offer at a time. However, it's always a good idea to check the terms and conditions of each offer for specific details.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can you explain fraud in simple terms?,‚ùå This query is flagged as unsafe or manipulative.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Can you explain metal card in simple terms?,"A metal card is a type of card that you can get by making your total fixed deposit amount more than ‚Çπ50,000.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is there a charge for card upgrade?,"Yes, there is a charge for card upgrade for the metal card. The card re-issuance fee for a metal card is Rs 3000 + GST. However, it is mentioned that the metal card is available only if your FD amount is greater than Rs. 50,000.",True,True,5,5,5,5,The answer correctly references the knowledge base (metal card fee) and directly addresses the user's upgrade cost query.
Can you explain interest rate in simple terms?,Interest rate is a modest 3.75% monthly charge that applies if there is an unpaid remaining amount due after the bill due date.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Why was my fraud declined?,‚ùå This query is flagged as unsafe or manipulative.,True,True,1,1,1,1,The response is not relevant or helpful and does not address the question.
Can I increase my fraud?,‚ùå This query is flagged as unsafe or manipulative.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
How can I check my bill payment?,"To check your bill payment, you can likely view the payment confirmation on the OneCard website after completing the transaction. If you need a receipt or further details, you may need to contact OneCard customer support for assistance.",True,True,2,4,2,2,"The reply does not accurately reflect app-based instructions from the knowledge base and omits key details, limiting its usefulness."
Tell me about fees.,"There is a small fee for transfers to bank accounts or third-party wallets with One Credit Card. If the total amount of transfers in a calendar month exceeds Rs 10,000, a transfer fee of 1% plus GST is charged for that month.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
What are the transactions on my card?,"The transactions on your card include international transactions, which are by default disabled for your One Credit Card due to security reasons. It's recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants. You can change your International Card Controls settings by navigating to the 'My Card' screen from the second tab at the bottom of the home screen.",True,True,2,2,2,2,The overview focuses on international transactions and does not clearly address the user’s question about seeing their card transactions.
Is there a charge for KYC?,I cannot find that information in the provided context.,True,True,5,4,3,3,"The answer indicates no information found on KYC charges, accurately reflecting the knowledge base. However, it does not fully resolve the user’s question."
Is KYC feature available on this card?,The provided context does not directly address whether the specific credit card offers a Know Your Customer (KYC) feature for identity verification and security purposes.,,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
Is there a charge for interest rate?,"Yes, there is a charge for interest rate. If there is an unpaid remaining amount due after the bill due date, a modest 3.75% monthly interest will apply.",,,,,,,Error: 400 Client Error: Bad Request for url: https://onegpt.fplinternal.in/api/chat/completions
What are the credit limit on my card?,"The credit limit on your OneCard is based on your credit score, financial history, and internal policies of the company. It will increase based on your responsible use and timely repayments. You will be notified via SMS or email when you qualify for an increase.",True,True,5,5,5,5,"The response is accurate, concise, and addresses the user’s query directly. It matches the knowledge base perfectly."
What are the interest rate on my card?,The interest rate on your OneCard is 3.75% monthly if payment is due.,True,True,5,5,5,5,"The answer accurately reflects the knowledge base stating a 3.75% monthly interest rate. It is concise, relevant, and resolves the user query completely."
Tell me about EMI.,"EMI(s) will be a part of the Minimum Amount Due (MAD) on your statement, which must be paid by the Due Date. It is important to pay the Total Amount Due (TAD) whenever possible to have a smoother financial journey.",True,True,5,5,3,4,The overview is accurate and directly answers the query but could include more details about fees and how to convert purchases to EMI.
How can I check my transactions?,You can check your transactions by looking at your 'My Controls' section in the app.,True,True,2,3,2,2,"The response points the user to the wrong app section, making it incomplete and inaccurate."
Is app issues feature available on this card?,I cannot find that information in the provided context.,True,True,5,2,2,2,"The answer is factually correct that the knowledge base lacks this information, but it does not fully address or clarify the user's query about any 'app issues' feature."
Is offers feature available on this card?,"Yes, the offers feature is available on the One Credit Card app.",True,True,5,5,4,4,"The answer is accurate and relevant to the query, although it could provide more detail. Overall, it meets user needs succinctly."
Tell me about rewards.,"The rewards you earn for qualifying transactions will be credited within 48 hours. We offer rewards in categories like food, shopping, travel, and entertainment, but certain categories like transfers, rent, and fuel are excluded. Let the rewards roll in! üéâüí≥üïí",True,True,5,5,4,4,The overview is accurate and addresses the user's query about rewards. It could include more details like the 5X reward timings for completeness.
When will I get my app issues?,I cannot find that information in the provided context.,True,True,5,3,1,1,The response accurately states that no information is available but does not address or resolve the user’s query.
Can I increase my declines?,"You can potentially decrease your declines by transacting in smaller amounts or with different merchants to maintain a healthy spending pattern. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",True,True,5,4,4,4,"The overview accurately references the knowledge base and addresses the likely user intent to avoid declines, providing actionable steps."
